// Compost colors for youkaishomecoming. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_handrail, #fff2da
jungle_handrail, #fffae6
kinako_dango, #ffffea
koishi_hat, #fffbff
koishi_mousse, #fffbff
lamprey_bucket, #dce0e4
latte, #ffffff
light_blue_ball_danmaku, #ffffff
light_blue_bubble_danmaku, #ffffff
light_blue_butterfly_danmaku, #ffffff
light_blue_circle_danmaku, #ffffff
light_blue_laser, #ffffff
light_blue_mentos_danmaku, #ffffff
light_gray_ball_danmaku, #ffffff
light_gray_bubble_danmaku, #ffffff
light_gray_butterfly_danmaku, #ffffff
light_gray_circle_danmaku, #ffffff
light_gray_laser, #ffffff
light_gray_mentos_danmaku, #ffffff
lime_ball_danmaku, #ffffff
lime_bubble_danmaku, #ffffff
lime_butterfly_danmaku, #ffffff
lime_circle_danmaku, #ffffff
lime_laser, #ffffff
lime_mentos_danmaku, #ffffff
lions_head, #e6bfa5
longevity_noodles, #ffffe4
macchiato, #ffffff
magenta_ball_danmaku, #ffffff
magenta_bubble_danmaku, #ffffff
magenta_butterfly_danmaku, #ffffff
magenta_circle_danmaku, #ffffff
magenta_laser, #ffffff
magenta_mentos_danmaku, #ffffff
mandrake_flower, #f7eaff
mandrake_root, #fff2d9
mangrove_handrail, #ffd9d7
mapo_tofu, #ffffee
matcha, #eefac9
matcha_mochi, #ffffff
mead, #ffffff
milk_popsicle, #ffffff
mio, #ffffff
miso_soup, #fffff8
mitarashi_dango, #ffeec5
mocha, #ffffff
mochi, #ffffff
mushroom_soup, #fffff4
oak_handrail, #ffffe4
oily_bean_curd, #ffffe7
onigili, #ffffff
oolong_tea, #ffffff
oolong_tea_leaves, #eef0d3
orange_ball_danmaku, #ffffff
orange_bubble_danmaku, #ffffff
orange_butterfly_danmaku, #ffffff
orange_circle_danmaku, #ffffff
orange_laser, #ffffff
orange_mentos_danmaku, #ffffff
oyaki, #fffff5
pastitsio, #ffffff
pink_ball_danmaku, #ffffff
pink_bubble_danmaku, #ffffff
pink_butterfly_danmaku, #ffffff
pink_circle_danmaku, #ffffff
pink_laser, #ffffff
pink_mentos_danmaku, #ffffff
pods, #fcffd9
poor_god_soup, #fffce1
pork_rice_ball, #ffffe7
power_soup, #fffad9
purple_ball_danmaku, #ffffff
purple_bubble_danmaku, #ffffff
purple_butterfly_danmaku, #ffffff
purple_circle_danmaku, #ffffff
purple_laser, #ffffff
purple_mentos_danmaku, #ffffff
raw_flesh_feast, #ffffff
raw_lamprey, #fffae1
raw_lamprey_fillet, #fffff7
red_ball_danmaku, #ffffff
red_bubble_danmaku, #ffffff
red_butterfly_danmaku, #ffffff
red_circle_danmaku, #ffffff
red_laser, #ffffff
red_mentos_danmaku, #ffffff
red_velvet_cake, #ffeede
red_velvet_cake_slice, #ffffff
redbean, #fac2b8
reimu_hairband, #b15a75
ristretto, #ffffff
roasted_lamprey, #d6a48e
roasted_lamprey_fillet, #f4d3be
roe, #ffffe6
rumia_hairband, #bc6b8a
saidi_tea, #ffffff
sakura_honey_tea, #ffffff
sakura_mochi, #ffffff
sauce_grilled_fish, #ffffff
saucer, #ffffff
scarlet_devil_cake, #ffffff
scarlet_mist, #ffffff
scarlet_tea, #ffffff
seafood_miso_soup, #ffffe8
sekibankiyaki, #ffffcf
senbei, #ffffff
seven_colored_yokan, #ffffff
shaved_ice_over_rice, #ffffff
shirayuki, #fffff0
soy_sauce_bottle, #ffffff
soybean, #fffff8
sparrow_sake, #ffffff
spell_reimu, #ffeaf2
spruce_handrail, #feedd7
steamed_egg_in_bamboo, #ffffc8
stinky_tofu, #ffffff
straw_hat, #fffce3
stripped_mandrake_root, #ffffff
suwako_hat, #ffeacc
sweet_ormosia_mochi_mixed_boiled, #fffffe
tarte_lune, #ffffed
tarte_lune_slice, #ffffff
tea_leaves, #e7f5d2
tea_mocha, #ffffff
tea_seeds, #ffffff
tengu_tango, #ffead2
tobiko_gunkan, #fffcee
tofu, #ffffff
tofu_burger, #ffffff
tsukimi_dango, #ffffff
tuscan_salmon, #fff0cf
tutu_congee, #ffffb2
udumbara_cake, #ffffff
udumbara_flower, #ffffff
udumbara_seeds, #ffffff
warped_handrail, #d3f0eb
white_ball_danmaku, #ffffff
white_bubble_danmaku, #ffffff
white_butterfly_danmaku, #ffffff
white_circle_danmaku, #ffffff
white_laser, #ffffff
white_mentos_danmaku, #ffffff
white_tea, #ffffff
white_tea_leaves, #ffffe0
wild_coffea, #a4b464
wild_mandrake, #dcf4d7
wild_redbean, #fbffc3
wild_soybean, #c0e77a
wild_tea, #dafbc5
wild_udumbara, #eeffff
wind_priestesses, #ffffff
yakumo_inari, #ffffdc
yashouma_dango, #ffffff
yellow_ball_danmaku, #ffffff
yellow_bubble_danmaku, #ffffff
yellow_butterfly_danmaku, #ffffff
yellow_circle_danmaku, #ffffff
yellow_laser, #ffffff
yellow_mentos_danmaku, #ffffff
